# EthiopicVariants-X.Y.Z.txt
# Date: 2023-08-19, 19:23:17 EDT
#
# This is a demonstrative file that illustrates Ethiopic Variant data, modeled after Unicode's Standard Variants data file.
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Variants of Mechiresha Mark (U+F4C3)
F4C3 FE00; short mechiresha mark; # SHORT MECHIRESHA MARK
1364 E0103; ethiopic semicolon with rubricated bars and downward rubricated winged serifs and rubricated inner stroke with double winged serifs and outer context bars with downward winged serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED BARS AND DOWNWARD RUBRICATED WINGED SERIFS AND RUBRICATED INNER STROKE WITH DOUBLE WINGED SERIFS AND OUTER CONTEXT BARS WITH DOWNWARD WINGED SERIFS

# Variants of Ethiopic Full Stop (U+1362)
1362 FE00; rubricated meskel decorated ethiopic full stop; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP
1362 FE01; meskel decorated rubricated ethiopic full stop; # MESKEL DECORATED RUBRICATED ETHIOPIC FULL STOP
1362 FE02; rubricated meskel decorated ethiopic full stop with elongated north and south dots; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH ELONGATED NORTH AND SOUTH DOTS
1362 FE03; rubricated meskel decorated ethiopic full stop with regular inner dot; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH REGULAR INNER DOT
1362 FE04; rubricated meskel decorated ethiopic full stop with context bars with downward winged serifs; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH CONTEXT BARS WITH DOWNWARD WINGED SERIFS
1362 FE05; rubricated meskel decorated ethiopic full stop with rubricated context bars with downward winged serifs; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH RUBRICATED CONTEXT BARS WITH DOWNWARD WINGED SERIFS
1362 FE06; rubricated meskel decorated ethiopic full stop with stylus drag; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH STYLUS DRAG
1362 FE07; ethiopic full stop with stylus drag; # ETHIOPIC FULL STOP WITH STYLUS DRAG
1362 FE08; rubricated meskel decorated ethiopic full stop without inner dot; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITHOUT INNER DOT
1362 FE09; rubricated meskel decorated ethiopic full stop with two rightward dots and stylus drag; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH TWO RIGHTWARD DOTS AND STYLUS DRAG
1362 FE0A; rubricated meskel decorated ethiopic full stop with 3-5, 4-6 connected dots; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH 3-5, 4-6 CONNECTED DOTS
1362 FE0B; rubricated meskel decorated ethiopic full stop 3-5, 4-6 connected dots xxx; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP 3-5, 4-6 CONNECTED DOTS XXX
1362 FE0C; rubricated meskel decorated ethiopic full stop pair joined by dots 3-1 and 4-2; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP PAIR JOINED BY DOTS 3-1 AND 4-2
1362 FE0D; rubricated meskel decorated ethiopic full stop with 2-3 connected dots; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH 2-3 CONNECTED DOTS
1362 FE0E; rubricated meskel decorated ethiopic full stop  with 2-3 connected dots and upper context bar; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP  WITH 2-3 CONNECTED DOTS AND UPPER CONTEXT BAR
1362 FE0F; rubricated meskel decorated ethiopic full stop  with 1-4 connected dots and upper context bar; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP  WITH 1-4 CONNECTED DOTS AND UPPER CONTEXT BAR
1362 E0100; rubricated meskel decorated ethiopic full stop  with 2-3 connected dots and upper context bar with rubricated square serifs; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP  WITH 2-3 CONNECTED DOTS AND UPPER CONTEXT BAR WITH RUBRICATED SQUARE SERIFS
1362 E0102; rubricated meskel decorated ethiopic full stop with 2-3 connected dots and upper and lower context bars; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH 2-3 CONNECTED DOTS AND UPPER AND LOWER CONTEXT BARS
1362 E0103; ethiopic full stop with cross connected dots; # ETHIOPIC FULL STOP WITH CROSS CONNECTED DOTS
1362 E0104; rubricated meskel decorated ethiopic full stop with cross connected dots; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH CROSS CONNECTED DOTS
1362 E0105; rubricated meskel decorated ethiopic full stop with cross connected dots with upper context bar; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH CROSS CONNECTED DOTS WITH UPPER CONTEXT BAR
1362 E0106; rubricated meskel decorated ethiopic full stop with cross connected dots with upper context bar and rubricated square serifs; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH CROSS CONNECTED DOTS WITH UPPER CONTEXT BAR AND RUBRICATED SQUARE SERIFS
1362 E0107; rubricated meskel decorated ethiopic full stop with cross connected dots with upper and lower context bars with downward winged serifs; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH CROSS CONNECTED DOTS WITH UPPER AND LOWER CONTEXT BARS WITH DOWNWARD WINGED SERIFS
1362 E0108; rubricated ethiopic full stop with internal cross; # RUBRICATED ETHIOPIC FULL STOP WITH INTERNAL CROSS
1362 E0109; rubricated ethiopic full stop with internal jerusalem cross; # RUBRICATED ETHIOPIC FULL STOP WITH INTERNAL JERUSALEM CROSS
1362 E010A; rubricated ethiopic full stop with regular inner dot and context bars; # RUBRICATED ETHIOPIC FULL STOP WITH REGULAR INNER DOT AND CONTEXT BARS
1362 E010B; ethiopic full stop with 1-4 and 2-3 connected dots with upper and lower context bars; # ETHIOPIC FULL STOP WITH 1-4 AND 2-3 CONNECTED DOTS WITH UPPER AND LOWER CONTEXT BARS
1362 E010C; ethiopic full stop with 1-4 and 2-3 connected rubricated dots and upper and lower rubricated context bars and cardinal oriented internal dots; # ETHIOPIC FULL STOP WITH 1-4 AND 2-3 CONNECTED RUBRICATED DOTS AND UPPER AND LOWER RUBRICATED CONTEXT BARS AND CARDINAL ORIENTED INTERNAL DOTS
1362 E010D; ethiopic full stop with rubricated inner dot; # ETHIOPIC FULL STOP WITH RUBRICATED INNER DOT
1362 E010E; rubricated ethiopic full stop with regular inner dot; # RUBRICATED ETHIOPIC FULL STOP WITH REGULAR INNER DOT
1362 E010F; ethiopic full stop with context bars; # ETHIOPIC FULL STOP WITH CONTEXT BARS
1362 E0110; ethiopic full stop with 2-3 connected dots and upper and upper context bar with downward winged serifs; # ETHIOPIC FULL STOP WITH 2-3 CONNECTED DOTS AND UPPER AND UPPER CONTEXT BAR WITH DOWNWARD WINGED SERIFS
1362 E0111; ethiopic full stop with 2-3 connected dots and upper and upper context bars; # ETHIOPIC FULL STOP WITH 2-3 CONNECTED DOTS AND UPPER AND UPPER CONTEXT BARS
1362 E0112; rubricated meskel decorated ethiopic full stop with rubricated flared stylus drag; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP WITH RUBRICATED FLARED STYLUS DRAG
1362 E0113; rubricated meskel decorated ethiopic full stop pair joined by dots 3-1 and 4-2 with rubricated flared stylus drag; # RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP PAIR JOINED BY DOTS 3-1 AND 4-2 WITH RUBRICATED FLARED STYLUS DRAG
1362 E0114; abba garima wengel matthew full stop; # ABBA GARIMA WENGEL MATTHEW FULL STOP
1362 E0115; abba garima full stop; # ABBA GARIMA FULL STOP
1362 E0116; abbā garimā gospels 1 rubricated meskel decorated ethiopic full stop; # ABBĀ GARIMĀ GOSPELS 1 RUBRICATED MESKEL DECORATED ETHIOPIC FULL STOP
1362 E0117; viridicated meskel decorated ethiopic full stop in green; # VIRIDICATED MESKEL DECORATED ETHIOPIC FULL STOP IN GREEN
1362 E0118; auricated meskel decorated ethiopic full stop in gold; # AURICATED MESKEL DECORATED ETHIOPIC FULL STOP IN GOLD
1362 E0119; rubricated ethiopic full stop with three inner dots; # RUBRICATED ETHIOPIC FULL STOP WITH THREE INNER DOTS
1392 FE00; ethiopic tonal mark forward slanting rikrik; # ETHIOPIC TONAL MARK FORWARD SLANTING RIKRIK
1392 FE01; ethiopic tonal mark backward slanting rikrik; # ETHIOPIC TONAL MARK BACKWARD SLANTING RIKRIK
1393 FE00; ethiopic tonal mark forward slanting rikrik; # ETHIOPIC TONAL MARK FORWARD SLANTING RIKRIK
1393 FE01; ethiopic tonal mark backward slanting rikrik; # ETHIOPIC TONAL MARK BACKWARD SLANTING RIKRIK
1395 FE00; ethiopic tonal mark reverse kenat; # ETHIOPIC TONAL MARK REVERSE KENAT
F400 FE00; ethiopic tonal mark difat hidet disjoint; # ETHIOPIC TONAL MARK DIFAT HIDET DISJOINT
F410 FE00; ethiopic tonal mark hidet yizet disjoint; # ETHIOPIC TONAL MARK HIDET YIZET DISJOINT
F411 FE00; ethiopic tonal mark  yizet hidet disjoint; # ETHIOPIC TONAL MARK  YIZET HIDET DISJOINT
F40C FE00; ethiopic tonal mark hidet yizet yizet disjoint; # ETHIOPIC TONAL MARK HIDET YIZET YIZET DISJOINT
F40D FE00; ethiopic tonal mark yizet yizet hidet disjoint; # ETHIOPIC TONAL MARK YIZET YIZET HIDET DISJOINT
F3E9 FE00; ethiopic tonal mark deret difat deret-chiret; # ETHIOPIC TONAL MARK DERET DIFAT DERET-CHIRET


# Ethiopic Numeral Variants
1369 FE00; without a lower numeral bar; # ETHIOPIC DIGIT ONE WITHOUT A LOWER NUMERAL BAR
136A FE00; without a lower numeral bar; # ETHIOPIC DIGIT TWO WITHOUT A LOWER NUMERAL BAR
136B FE00; without a lower numeral bar; # ETHIOPIC DIGIT THREE WITHOUT A LOWER NUMERAL BAR
136C FE00; without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITHOUT A LOWER NUMERAL BAR
136D FE00; without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITHOUT A LOWER NUMERAL BAR
136E FE00; without a lower numeral bar; # ETHIOPIC DIGIT SIX WITHOUT A LOWER NUMERAL BAR
136F FE00; without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITHOUT A LOWER NUMERAL BAR
1370 FE00; without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITHOUT A LOWER NUMERAL BAR
1371 FE00; without a lower numeral bar; # ETHIOPIC DIGIT NINE WITHOUT A LOWER NUMERAL BAR
1372 FE00; without a lower numeral bar; # ETHIOPIC NUMBER TEN WITHOUT A LOWER NUMERAL BAR
1373 FE00; without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITHOUT A LOWER NUMERAL BAR
1374 FE00; without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITHOUT A LOWER NUMERAL BAR
1375 FE00; without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITHOUT A LOWER NUMERAL BAR
1376 FE00; without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITHOUT A LOWER NUMERAL BAR
1377 FE00; without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITHOUT A LOWER NUMERAL BAR
1378 FE00; without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITHOUT A LOWER NUMERAL BAR
1379 FE00; without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITHOUT A LOWER NUMERAL BAR
137A FE00; without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITHOUT A LOWER NUMERAL BAR
137B FE00; without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITHOUT A LOWER NUMERAL BAR
137C FE00; without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITHOUT A LOWER NUMERAL BAR
F70F FE00; without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITHOUT A LOWER NUMERAL BAR
1369 FE01; without numeral bars; # ETHIOPIC DIGIT ONE WITHOUT NUMERAL BARS
136A FE01; without numeral bars; # ETHIOPIC DIGIT TWO WITHOUT NUMERAL BARS
136B FE01; without numeral bars; # ETHIOPIC DIGIT THREE WITHOUT NUMERAL BARS
136C FE01; without numeral bars; # ETHIOPIC DIGIT FOUR WITHOUT NUMERAL BARS
136D FE01; without numeral bars; # ETHIOPIC DIGIT FIVE WITHOUT NUMERAL BARS
136E FE01; without numeral bars; # ETHIOPIC DIGIT SIX WITHOUT NUMERAL BARS
136F FE01; without numeral bars; # ETHIOPIC DIGIT SEVEN WITHOUT NUMERAL BARS
1370 FE01; without numeral bars; # ETHIOPIC DIGIT EIGHT WITHOUT NUMERAL BARS
1371 FE01; without numeral bars; # ETHIOPIC DIGIT NINE WITHOUT NUMERAL BARS
1372 FE01; without numeral bars; # ETHIOPIC NUMBER TEN WITHOUT NUMERAL BARS
1373 FE01; without numeral bars; # ETHIOPIC NUMBER TWENTY WITHOUT NUMERAL BARS
1374 FE01; without numeral bars; # ETHIOPIC NUMBER THIRTY WITHOUT NUMERAL BARS
1375 FE01; without numeral bars; # ETHIOPIC NUMBER FORTY WITHOUT NUMERAL BARS
1376 FE01; without numeral bars; # ETHIOPIC NUMBER FIFTY WITHOUT NUMERAL BARS
1377 FE01; without numeral bars; # ETHIOPIC NUMBER SIXTY WITHOUT NUMERAL BARS
1378 FE01; without numeral bars; # ETHIOPIC NUMBER SEVENTY WITHOUT NUMERAL BARS
1379 FE01; without numeral bars; # ETHIOPIC NUMBER EIGHTY WITHOUT NUMERAL BARS
137A FE01; without numeral bars; # ETHIOPIC NUMBER NINETY WITHOUT NUMERAL BARS
137B FE01; without numeral bars; # ETHIOPIC NUMBER HUNDRED WITHOUT NUMERAL BARS
137C FE01; without numeral bars; # ETHIOPIC NUMBER TEN THOUSAND WITHOUT NUMERAL BARS
F70F FE01; without numeral bars; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITHOUT NUMERAL BARS
1369 FE02; with rubricated numeral bars; # ETHIOPIC DIGIT ONE WITH RUBRICATED NUMERAL BARS
136A FE02; with rubricated numeral bars; # ETHIOPIC DIGIT TWO WITH RUBRICATED NUMERAL BARS
136B FE02; with rubricated numeral bars; # ETHIOPIC DIGIT THREE WITH RUBRICATED NUMERAL BARS
136C FE02; with rubricated numeral bars; # ETHIOPIC DIGIT FOUR WITH RUBRICATED NUMERAL BARS
136D FE02; with rubricated numeral bars; # ETHIOPIC DIGIT FIVE WITH RUBRICATED NUMERAL BARS
136E FE02; with rubricated numeral bars; # ETHIOPIC DIGIT SIX WITH RUBRICATED NUMERAL BARS
136F FE02; with rubricated numeral bars; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED NUMERAL BARS
1370 FE02; with rubricated numeral bars; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED NUMERAL BARS
1371 FE02; with rubricated numeral bars; # ETHIOPIC DIGIT NINE WITH RUBRICATED NUMERAL BARS
1372 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER TEN WITH RUBRICATED NUMERAL BARS
1373 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED NUMERAL BARS
1374 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED NUMERAL BARS
1375 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER FORTY WITH RUBRICATED NUMERAL BARS
1376 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED NUMERAL BARS
1377 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED NUMERAL BARS
1378 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED NUMERAL BARS
1379 FE02; with rubricated numeral bars; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED NUMERAL BARS
137A FE02; with rubricated numeral bars; # ETHIOPIC NUMBER NINETY WITH RUBRICATED NUMERAL BARS
137B FE02; with rubricated numeral bars; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED NUMERAL BARS
137C FE02; with rubricated numeral bars; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED NUMERAL BARS
F70F FE02; with rubricated numeral bars; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED NUMERAL BARS
1369 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136A FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136B FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136C FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136D FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136E FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
136F FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1370 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1371 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1372 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1373 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1374 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1375 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1376 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1377 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1378 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1379 FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
137A FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
137B FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
137C FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
F70F FE03; with rubricated numeral bars and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED NUMERAL BARS AND WITHOUT A LOWER NUMERAL BAR
1369 FE04; with rubricated body; # ETHIOPIC DIGIT ONE WITH RUBRICATED BODY
136A FE04; with rubricated body; # ETHIOPIC DIGIT TWO WITH RUBRICATED BODY
136B FE04; with rubricated body; # ETHIOPIC DIGIT THREE WITH RUBRICATED BODY
136C FE04; with rubricated body; # ETHIOPIC DIGIT FOUR WITH RUBRICATED BODY
136D FE04; with rubricated body; # ETHIOPIC DIGIT FIVE WITH RUBRICATED BODY
136E FE04; with rubricated body; # ETHIOPIC DIGIT SIX WITH RUBRICATED BODY
136F FE04; with rubricated body; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED BODY
1370 FE04; with rubricated body; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED BODY
1371 FE04; with rubricated body; # ETHIOPIC DIGIT NINE WITH RUBRICATED BODY
1372 FE04; with rubricated body; # ETHIOPIC NUMBER TEN WITH RUBRICATED BODY
1373 FE04; with rubricated body; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED BODY
1374 FE04; with rubricated body; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED BODY
1375 FE04; with rubricated body; # ETHIOPIC NUMBER FORTY WITH RUBRICATED BODY
1376 FE04; with rubricated body; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED BODY
1377 FE04; with rubricated body; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED BODY
1378 FE04; with rubricated body; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED BODY
1379 FE04; with rubricated body; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED BODY
137A FE04; with rubricated body; # ETHIOPIC NUMBER NINETY WITH RUBRICATED BODY
137B FE04; with rubricated body; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED BODY
137C FE04; with rubricated body; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY
F70F FE04; with rubricated body; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED BODY
1369 FE05; with rubricated body and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED BODY AND WITHOUT A LOWER NUMERAL BAR
